,Title,Date,State,Total Deaths,full place name
10262,Gunmen kidnap Chinese contractor in Ekiti,3/2/21,Ekiti,0,"Irepodun/Ifelodun, Ekiti, Nigeria"
10263,"Gunmen kill one, abduct passengers in Osun",3/2/21,Osun,1,"Obokun, Osun, Nigeria"
10264,Five injured in fresh attack on Fulani settlement in Oyo village,3/2/21,Oyo,0,"Surulere, Oyo, Nigeria"
10265,Gunmen Kidnap The Wife Of A Sokoto State Commissioner’s Brother,3/2/21,Sokoto,0,"Goronyo, Sokoto, Nigeria"
10266,Angry mob lynches robbery suspect in Delta,3/2/21,Delta,1,"Udu, Delta, Nigeria"
10267,Suspected cultists kill man in Benue,3/2/21,Benue,1,"Makurdi, Benue, Nigeria"
10268,"Gunmen kill six policemen, cart away arms in Cross River",3/3/21,Cross River,6,"Obubra, Cross River, Nigeria"
10269,"One Killed, Two Injured As Nigerian Soldiers Open Fire On Jangebe Residents",3/3/21,Zamfara,1,"Talata-Mafara, Zamfara, Nigeria"
10270,"Bandits Kidnap 70, Burn Houses In Zamfara",3/3/21,Zamfara,0,"Maru, Zamfara, Nigeria"
10271,"2 Killed, 16 Workers Rescued As Police Battle Kidnappers in Delta",3/3/21,Delta,2,"Ughelli South, Delta, Nigeria"
10272,"Again, troops engage Boko Haram at Marte village, rescue 28 locals in Sambisa",3/3/21,Borno,10,"Marte, Borno, Nigeria"
10273,"Gunmen Shoot Pregnant Woman, Abduct 3 In Abuja",3/3/21,Federal Capital Territory,0,"Kwali, Federal Capital Territory, Nigeria"
10274,"Five feared killed in renewed clash between Offa, Erin-Ile",3/4/21,Kwara,5,"Offa, Kwara, Nigeria"
10275,"Bandits Attack Sokoto Village, Kill Late Village Head’s Son, Abduct Mother, Sister-In-Law",3/4/21,Sokoto,1,"Bodinga, Sokoto, Nigeria"
10276,"Five Killed As Troops, Bandits Engage In Gun Battle In Katsina",3/4/21,Katsina,5,"Safana, Katsina, Nigeria"
10277,Military Kills 1 Terrorist In Borno,3/4/21,Borno,1,"Ngala, Borno, Nigeria"
10278,"Gunmen Kill 3 Persons In Kano, Abduct 1",3/4/21,Kano,1,"Rano, Kano, Nigeria"
10279,Military Kills 5 Terrorists In Borno,3/5/21,Borno,5,"Dikwa, Borno, Nigeria"
